X1	X2	weight
ENSG00000213654	ENSG00000120885	2.87563113367227
ENSG00000136732	ENSG00000120885	2.49357309533314
ENSG00000015475	ENSG00000120885	2.26839344372859
ENSG00000065485	ENSG00000090512	2.00457892155099
ENSG00000007171	ENSG00000090512	1.98567934746471
ENSG00000087245	ENSG00000244734	1.95634689509917
ENSG00000174059	ENSG00000037280	1.91758310958666
ENSG00000174059	ENSG00000169403	1.89152975667828
ENSG00000087245	ENSG00000206172	1.84268803648811
ENSG00000054356	ENSG00000090512	1.82989000368764
ENSG00000136732	ENSG00000161055	1.81096928095076
ENSG00000087245	ENSG00000188536	1.76005473037437
ENSG00000099256	ENSG00000090512	1.75279738249016
ENSG00000174059	ENSG00000163218	1.73014086500233
ENSG00000187994	ENSG00000161055	1.72951123102023
ENSG00000035862	ENSG00000006606	1.7091419088684
ENSG00000136732	ENSG00000245532	1.70163492838186
ENSG00000167779	ENSG00000037280	1.69271851160594
ENSG00000087245	ENSG00000223609	1.68669531159927
ENSG00000164309	ENSG00000090512	1.67310044008704
ENSG00000133048	ENSG00000184156	1.66277596368193
ENSG00000213588	ENSG00000204577	1.63730930198059
ENSG00000104044	ENSG00000204577	1.62298145652226
ENSG00000174059	ENSG00000140678	1.60892465996387
ENSG00000104044	ENSG00000130203	1.60553147854478
ENSG00000075461	ENSG00000187994	1.57662453461228
ENSG00000109107	ENSG00000168542	1.57373619937973
ENSG00000076248	ENSG00000140678	1.57256602605772
ENSG00000090512	ENSG00000124215	1.56968817832996
ENSG00000184731	ENSG00000090512	1.56725294585827
ENSG00000174059	ENSG00000241839	1.55406939006477
ENSG00000206172	ENSG00000090512	1.54811446849683
ENSG00000004534	ENSG00000204577	1.53927003830827
ENSG00000163468	ENSG00000177479	1.52124228205281
ENSG00000188536	ENSG00000090512	1.52063223508398
ENSG00000167244	ENSG00000072195	1.51779487671471
ENSG00000174059	ENSG00000146112	1.51589284825344
ENSG00000104044	ENSG00000059377	1.51379221842032
ENSG00000167779	ENSG00000103569	1.50659237389703
ENSG00000167779	ENSG00000204577	1.50552362780009
ENSG00000204577	ENSG00000172765	1.50350333327179
ENSG00000109107	ENSG00000152672	1.49116053440176
ENSG00000104044	ENSG00000004399	1.46654340902497
ENSG00000163501	ENSG00000129159	1.45912417930665
ENSG00000118523	ENSG00000162836	1.45372255217823
ENSG00000104044	ENSG00000134830	1.45158587755392
ENSG00000137561	ENSG00000103942	1.44727740949509
ENSG00000163501	ENSG00000065485	1.4444731880508
ENSG00000174059	ENSG00000028137	1.43910070177003
ENSG00000204103	ENSG00000198400	1.43704403953642
ENSG00000104044	ENSG00000066336	1.4301169493819
ENSG00000163220	ENSG00000090512	1.4172234047655
ENSG00000138395	ENSG00000161055	1.40111869584749
ENSG00000175315	ENSG00000169495	1.3989342961212
ENSG00000174059	ENSG00000115956	1.38739730901831
ENSG00000164484	ENSG00000113924	1.38698904096589
ENSG00000163501	ENSG00000244734	1.37820951940643
ENSG00000174059	ENSG00000142347	1.37626913929657
ENSG00000108691	ENSG00000007171	1.37375175622315
ENSG00000167617	ENSG00000007171	1.37049469180128
ENSG00000104044	ENSG00000019169	1.3688602788951
ENSG00000232810	ENSG00000007171	1.36349473617735
ENSG00000204577	ENSG00000186166	1.35852089990432
ENSG00000174059	ENSG00000149781	1.35293702185099
ENSG00000131042	ENSG00000007171	1.35160676393628
ENSG00000140254	ENSG00000204577	1.34606659960276
ENSG00000169403	ENSG00000136205	1.33850561885455
ENSG00000126562	ENSG00000111261	1.33220696634837
ENSG00000130724	ENSG00000066056	1.33174201618693
ENSG00000174059	ENSG00000015475	1.32813568547567
ENSG00000163468	ENSG00000112146	1.31550980044282
ENSG00000100292	ENSG00000161055	1.31367950335543
ENSG00000167779	ENSG00000244682	1.30799481082958
ENSG00000130203	ENSG00000203685	1.30166068441788
ENSG00000175315	ENSG00000162747	1.299836552324
ENSG00000076248	ENSG00000019102	1.29620818120276
ENSG00000100097	ENSG00000006606	1.29314481552096
ENSG00000110195	ENSG00000151474	1.29159010401601
ENSG00000167779	ENSG00000170906	1.28058487994147
ENSG00000156510	ENSG00000146070	1.28037375988824
ENSG00000167779	ENSG00000072195	1.27736956456644
ENSG00000167779	ENSG00000144824	1.27495547202713
ENSG00000174059	ENSG00000172936	1.260267622242
ENSG00000197746	ENSG00000161055	1.26004710173094
ENSG00000006606	ENSG00000066336	1.25940746297422
ENSG00000152292	ENSG00000012223	1.25424297032457
ENSG00000188677	ENSG00000006606	1.2534961118868
ENSG00000169403	ENSG00000012223	1.25300051846115
ENSG00000117069	ENSG00000143320	1.25280709733631
ENSG00000173209	ENSG00000204577	1.25049989662751
ENSG00000110195	ENSG00000241839	1.24839311465188
ENSG00000167244	ENSG00000121335	1.24579831134975
ENSG00000129226	ENSG00000161055	1.24543382049879
ENSG00000152213	ENSG00000141506	1.2421048525976
ENSG00000245149	ENSG00000151474	1.23549001666845
ENSG00000104044	ENSG00000160883	1.2354622536779
ENSG00000104044	ENSG00000134443	1.23124599169519
ENSG00000012223	ENSG00000241839	1.2306397294542
ENSG00000175985	ENSG00000102935	1.22991921561871
ENSG00000110195	ENSG00000117525	1.22707871078971
ENSG00000104044	ENSG00000011600	1.22582252932852
ENSG00000176014	ENSG00000006606	1.22557634439712
ENSG00000182010	ENSG00000164484	1.22201248703266
ENSG00000161055	ENSG00000143127	1.21960310106702
ENSG00000110195	ENSG00000176907	1.21851095004484
ENSG00000177519	ENSG00000104918	1.21822802289913
